code,type,train_line,train_line_code,station_name_English,station_name_Chinese,station_name_Tamil,photo
NE11,MRT_station,North East Line,NEL,Woodleigh,兀里,உட்லீ,https://personal.ntu.edu.sg/assgkhoo/MRT2.jpg
NE13,MRT_station,North East Line,NEL,Kovan,高文,கோவன்,https://personal.ntu.edu.sg/assgkhoo/MRT2.jpg
NE14,MRT_station,North East Line,NEL,Hougang,后港,ஹவ்காங்,https://personal.ntu.edu.sg/assgkhoo/MRT2.jpg
NE15,MRT_station,North East Line,NEL,Buangkok,万国,புவாங்கோக்,https://personal.ntu.edu.sg/assgkhoo/MRT2.jpg
NE16,MRT_station,North East Line,NEL,Sengkang,盛港,செங்காங்,https://personal.ntu.edu.sg/assgkhoo/MRT2.jpg
NE17,MRT_station,North East Line,NEL,Punggol,榜鹅,பொங்கோல்,https://personal.ntu.edu.sg/assgkhoo/MRT2.jpg
NE5,MRT_station,North East Line,NEL,Clarke Quay,克拉码头,கிளார்க் கீ,https://personal.ntu.edu.sg/assgkhoo/MRT2.jpg
NE8,MRT_station,North East Line,NEL,Farrer Park,花拉公园,ஃபேரர் பார்க்,https://personal.ntu.edu.sg/assgkhoo/MRT2.jpg
NE9,MRT_station,North East Line,NEL,Boon Keng,文庆,பூன் கெங்,https://personal.ntu.edu.sg/assgkhoo/MRT2.jpg
NS10,MRT_station,North South Line,NSL,Admiralty,海军部,அட்மிரல்ட்டி,https://personal.ntu.edu.sg/assgkhoo/MRT2.jpg
NS11,MRT_station,North South Line,NSL,Sembawang,三巴旺,செம்பாவாங்,https://personal.ntu.edu.sg/assgkhoo/MRT2.jpg
NS13,MRT_station,North South Line,NSL,Yishun,义顺,யீஷூன்,https://personal.ntu.edu.sg/assgkhoo/MRT2.jpg
NS14,MRT_station,North South Line,NSL,Khatib,卡迪,காதிப்,https://personal.ntu.edu.sg/assgkhoo/MRT2.jpg
NS15,MRT_station,North South Line,NSL,Yio Chu Kang,杨厝港,இயோ சூ காங்,https://personal.ntu.edu.sg/assgkhoo/MRT2.jpg
NS16,MRT_station,North South Line,NSL,Ang Mo Kio,宏茂桥,அங் மோ கியோ,https://personal.ntu.edu.sg/assgkhoo/MRT2.jpg
NS18,MRT_station,North South Line,NSL,Braddell,布莱德,பிரேடல்,https://personal.ntu.edu.sg/assgkhoo/MRT2.jpg
NS19,MRT_station,North South Line,NSL,Toa Payoh,大巴窑,தோ பாயோ,https://personal.ntu.edu.sg/assgkhoo/MRT2.jpg
NS2,MRT_station,North South Line,NSL,Bukit Batok,武吉巴督,புக்கிட் பாத்தோக்,https://personal.ntu.edu.sg/assgkhoo/MRT2.jpg
NS20,MRT_station,North South Line,NSL,Novena,诺维娜,நொவீனா,https://personal.ntu.edu.sg/assgkhoo/MRT2.jpg
NS22,MRT_station,North South Line,NSL,Orchard,乌节,ஆர்ச்சர்ட்,https://personal.ntu.edu.sg/assgkhoo/MRT2.jpg
NS23,MRT_station,North South Line,NSL,Somerset,索美塞,சாமர்செட்,https://personal.ntu.edu.sg/assgkhoo/MRT2.jpg
NS28,MRT_station,North South Line,NSL,Marina South Pier,滨海南码头,மரினா சவுத் படகுத்துறை,https://personal.ntu.edu.sg/assgkhoo/MRT2.jpg
NS3,MRT_station,North South Line,NSL,Bukit Gombak,武吉甘柏,புக்கிட் கோம்பாக்,https://personal.ntu.edu.sg/assgkhoo/MRT2.jpg
NS4,MRT_station,North South Line,NSL,Choa Chu Kang,蔡厝港,சுவா சூ காங்,https://personal.ntu.edu.sg/assgkhoo/MRT2.jpg
NS5,MRT_station,North South Line,NSL,Yew Tee,油池,இயூ டீ,https://personal.ntu.edu.sg/assgkhoo/MRT2.jpg
NS7,MRT_station,North South Line,NSL,Kranji,克兰芝,கிராஞ்சி,https://personal.ntu.edu.sg/assgkhoo/MRT2.jpg
NS8,MRT_station,North South Line,NSL,Marsiling,马西岭,மார்சிலிங்,https://personal.ntu.edu.sg/assgkhoo/MRT2.jpg
NS9,MRT_station,North South Line,NSL,Woodlands,兀兰,ஊட்லண்ட்ஸ்,https://personal.ntu.edu.sg/assgkhoo/MRT2.jpg
